title,author,num_ratings,num_reviews,avg_rating,num_pages,language,series,1_rating_count,2_rating_count,3_rating_count,4_rating_count,5_rating_count,publish_year,publish_month,publish_day,fiction,republish
Hopeless,Colleen Hoover,243365.0,20449.0,4.31,410.0,English,1,4893.0,8622.0,28442.0,66715.0,134693.0,2012.0,12.0,19.0,0,1
King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,23642.0,706.0,4.2,176.0,English,0,206.0,715.0,4219.0,7604.0,10898.0,1990.0,11.0,1.0,1,1
The Pigman,Paul Zindel,25261.0,1376.0,3.59,166.0,English,1,975.0,2647.0,7766.0,8263.0,5610.0,2005.0,10.0,22.0,1,1
Cane River,Lalita Tademy,44697.0,2005.0,4.06,522.0,English,0,472.0,1663.0,9012.0,17282.0,16268.0,2002.0,4.0,1.0,1,1
The Touch: A Supernatural Story,Robert Flynn III,397.0,99.0,3.76,388.0,English,1,26.0,40.0,59.0,152.0,120.0,2017.0,2.0,11.0,1,0
The Secret of the Nagas,Amish Tripathi,68322.0,2492.0,4.03,396.0,English,1,674.0,2688.0,13343.0,28810.0,22807.0,2011.0,8.0,12.0,1,1
Shake Hands with the Devil: The Failure of Humanity in Rwanda,Roméo Dallaire,10065.0,611.0,4.24,562.0,English,0,142.0,287.0,1390.0,3480.0,4766.0,2004.0,12.0,21.0,0,1
This Present Darkness,Frank E. Peretti,87492.0,1859.0,4.22,376.0,English,1,2352.0,3620.0,11741.0,24309.0,45470.0,2003.0,6.0,26.0,1,1
A Dog's Purpose,W. Bruce Cameron,102613.0,12589.0,4.36,319.0,English,1,892.0,2272.0,11766.0,32086.0,55597.0,2010.0,7.0,22.0,1,0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,95380.0,7165.0,4.27,287.0,English,0,1422.0,2969.0,12022.0,30897.0,48070.0,2012.0,9.0,11.0,0,0
Boundless,Cynthia Hand,42455.0,3920.0,4.14,448.0,English,1,655.0,1758.0,7348.0,13991.0,18703.0,2013.0,1.0,22.0,0,0
A Good Man is Hard to Find and Other Stories,Flannery O'Connor,36174.0,2033.0,4.22,252.0,English,0,459.0,1275.0,5126.0,12176.0,17138.0,1992.0,10.0,15.0,1,1
The Sisterhood of the Traveling Pants,Ann Brashares,587019.0,7083.0,3.78,294.0,English,1,16146.0,44611.0,161980.0,194301.0,169981.0,2001.0,9.0,11.0,1,0
One,Richard Bach,11720.0,280.0,3.95,320.0,English,0,278.0,746.0,2614.0,3776.0,4306.0,2001.0,5.0,11.0,1,1
Foucault's Pendulum,Umberto Eco,56251.0,3038.0,3.89,623.0,English,0,1951.0,4139.0,11694.0,18758.0,19709.0,2007.0,3.0,5.0,1,1
The Rape of Nanking,Iris Chang,22485.0,1734.0,4.12,290.0,English,0,256.0,760.0,3670.0,9166.0,8633.0,1998.0,11.0,1.0,0,1
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,25981.0,860.0,4.33,384.0,English,0,509.0,660.0,2751.0,7997.0,14064.0,1997.0,9.0,8.0,0,1
Fawkes,Nadine Brandes,2443.0,967.0,3.86,448.0,English,0,60.0,198.0,538.0,877.0,770.0,2018.0,7.0,10.0,0,0
Winter of the World,Ken Follett,113776.0,7627.0,4.32,940.0,English,1,594.0,2093.0,13006.0,42150.0,55933.0,2012.0,9.0,18.0,1,0
The Angel's Game,Carlos Ruiz Zafón,97768.0,8992.0,3.91,522.0,English,1,1328.0,5923.0,23007.0,37661.0,29849.0,2009.0,10.0,22.0,1,1
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,92867.0,3474.0,3.68,616.0,English,0,3702.0,8174.0,24802.0,33584.0,22605.0,2006.0,4.0,18.0,0,1
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,18551.0,780.0,4.12,481.0,English,0,99.0,603.0,3503.0,7164.0,7182.0,2006.0,10.0,1.0,0,1
Anne of Avonlea,L.M. Montgomery,125757.0,4176.0,4.22,304.0,English,1,820.0,2823.0,19805.0,46237.0,56072.0,1997.0,10.0,6.0,1,1
When Breath Becomes Air,Paul Kalanithi,332950.0,28262.0,4.35,208.0,English,0,4685.0,8103.0,35451.0,101807.0,182904.0,2016.0,1.0,19.0,0,1
Lysistrata,Aristophanes,33412.0,836.0,3.85,132.0,English,0,726.0,2265.0,8495.0,11637.0,10289.0,2003.0,3.0,1.0,1,0
The Summoning,Kelley Armstrong,147919.0,6134.0,4.03,390.0,English,1,3729.0,8266.0,29303.0,45382.0,61239.0,2008.0,7.0,1.0,0,0
Tipping the Velvet,Sarah Waters,54045.0,2546.0,4.01,472.0,English,0,1558.0,2726.0,10006.0,19089.0,20666.0,2000.0,5.0,1.0,1,1
The Blue Castle,L.M. Montgomery,26666.0,3565.0,4.25,218.0,English,0,295.0,782.0,3938.0,8592.0,13059.0,1989.0,4.0,1.0,1,1
"Botanical Shakespeare: An Illustrated Compendium of All the Flowers, Fruits, Herbs, Trees, Seeds, and Grasses Cited by the World's Greatest Playwright",Gerit Quealy,312.0,29.0,4.21,208.0,?,0,0.0,3.0,49.0,139.0,121.0,2017.0,4.0,4.0,0,0
The Street Lawyer,John Grisham,96249.0,2282.0,3.83,384.0,English,0,1151.0,5535.0,27664.0,36179.0,25720.0,2005.0,4.0,26.0,1,1
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,30098.0,1773.0,4.3,160.0,English,0,446.0,905.0,3761.0,9099.0,15887.0,2000.0,9.0,26.0,0,1
A Hero of Our Time,Mikhail Lermontov,43546.0,1308.0,4.1,185.0,English,0,794.0,2056.0,7838.0,13963.0,18895.0,1966.0,8.0,30.0,1,1
The Castle,Franz Kafka,39108.0,1743.0,3.96,316.0,English,0,799.0,2278.0,8131.0,14341.0,13559.0,1998.0,12.0,15.0,1,1
The Nicomachean Ethics,Aristotle,30232.0,831.0,3.94,329.0,English,0,627.0,1800.0,7007.0,10267.0,10531.0,2004.0,1.0,29.0,0,0
Regeneration,Pat Barker,23475.0,1418.0,4.03,256.0,English,1,308.0,1060.0,4533.0,9307.0,8267.0,?,?,?,1,1
Just Listen,Sarah Dessen,224065.0,7877.0,4.06,371.0,English,0,3997.0,10912.0,43701.0,73945.0,91510.0,2006.0,4.0,6.0,1,0
The Birth of Venus,Sarah Dunant,89064.0,3169.0,3.81,427.0,English,0,1987.0,5953.0,23948.0,32641.0,24535.0,2004.0,11.0,30.0,1,1
Balzac and the Little Chinese Seamstress,Dai Sijie,49519.0,4078.0,3.64,184.0,English,0,774.0,4071.0,16326.0,19492.0,8856.0,2002.0,10.0,29.0,1,1
The Leopard,Giuseppe Tomasi di Lampedusa,20182.0,1533.0,4.0,319.0,English,0,408.0,1146.0,4011.0,7049.0,7568.0,2007.0,11.0,6.0,1,1
The Cellist of Sarajevo,Steven Galloway,29454.0,3690.0,4.02,235.0,English,0,228.0,1134.0,5793.0,12904.0,9395.0,2008.0,5.0,15.0,1,1
Ferdydurke,Witold Gombrowicz,8821.0,272.0,3.86,320.0,English,0,396.0,698.0,1704.0,2961.0,3062.0,2000.0,8.0,11.0,1,1
Go Tell It on the Mountain,James Baldwin,39382.0,2230.0,4.02,256.0,English,0,544.0,1716.0,7902.0,15600.0,13620.0,2001.0,10.0,22.0,1,1
The Mysterious Island,Jules Verne,40478.0,1486.0,4.1,723.0,English,1,471.0,1584.0,7841.0,13978.0,16604.0,2004.0,4.0,27.0,1,1
Southern Mystical Moments,Patricia H. Graham,43.0,3.0,3.74,138.0,English,0,3.0,3.0,12.0,9.0,16.0,2012.0,10.0,31.0,1,0
The Sight of Demons,Darin C.  Brown,558.0,15.0,4.51,270.0,English,1,0.0,1.0,14.0,243.0,300.0,2017.0,10.0,6.0,1,0
Save Yourself,Kelly Braffet,4570.0,489.0,3.36,320.0,English,0,373.0,642.0,1330.0,1404.0,821.0,2013.0,8.0,6.0,1,0
Les Liaisons dangereuses,Pierre Choderlos de Laclos,40596.0,1346.0,4.07,448.0,English,0,668.0,1808.0,7596.0,14357.0,16167.0,1999.0,3.0,18.0,1,1
The Speed of Life,James Victor Jordan,522.0,21.0,4.38,299.0,English,0,0.0,0.0,41.0,240.0,241.0,2018.0,11.0,6.0,1,0
Gabriel's Inferno,Sylvain Reynard,135926.0,7566.0,4.01,506.0,English,1,5981.0,9194.0,22768.0,37942.0,60041.0,2011.0,4.0,4.0,0,1
The 5th Wave,Rick Yancey,355508.0,29083.0,4.06,457.0,English,1,8102.0,17794.0,62420.0,122120.0,145072.0,2013.0,5.0,7.0,0,0
Go the Fuck to Sleep,Adam Mansbach,81793.0,3524.0,4.26,64.0,English,0,1720.0,2898.0,11265.0,22034.0,43876.0,2011.0,6.0,14.0,1,1
Life After Life,Kate Atkinson,185345.0,23223.0,3.76,531.0,English,1,7651.0,15851.0,42295.0,67477.0,52071.0,2013.0,4.0,2.0,1,1
Mornings in Jenin,Susan Abulhawa,17908.0,3006.0,4.37,352.0,English,0,197.0,422.0,1802.0,5589.0,9898.0,2010.0,2.0,15.0,1,1
2666,Roberto Bolaño,27414.0,3386.0,4.21,1125.0,Spanish,1,766.0,1384.0,3348.0,7763.0,14153.0,2004.0,10.0,22.0,1,0
Fever 1793,Laurie Halse Anderson,96875.0,5695.0,3.91,252.0,English,0,1474.0,5254.0,23564.0,36527.0,30056.0,2000.0,9.0,1.0,1,0
The Largesse of the Sea Maiden,Denis Johnson,5906.0,724.0,3.78,207.0,English,0,279.0,526.0,1170.0,2190.0,1741.0,2018.0,1.0,16.0,1,0
Adjustment Day,Chuck Palahniuk,6023.0,694.0,3.13,316.0,English,0,600.0,1143.0,1960.0,1538.0,782.0,2018.0,5.0,1.0,1,0
Zeitoun,Dave Eggers,67155.0,7576.0,4.07,342.0,English,0,946.0,2432.0,11461.0,28205.0,24111.0,2009.0,7.0,15.0,0,1
The Accidental Tourist,Anne Tyler,91574.0,2097.0,3.91,352.0,English,0,1214.0,4807.0,22230.0,36068.0,27255.0,2002.0,4.0,9.0,1,1
Om Chanting and Meditation,Amit Ray,471.0,110.0,4.25,113.0,English,0,23.0,23.0,48.0,98.0,279.0,2010.0,6.0,29.0,0,0
The Beach,Alex Garland,65869.0,2494.0,3.93,436.0,English,0,908.0,3546.0,14751.0,26410.0,20254.0,1998.0,2.0,1.0,1,1
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,12371.0,604.0,4.39,1204.0,English,1,276.0,415.0,1238.0,2758.0,7684.0,2003.0,12.0,2.0,1,0
The Spy Who Came In from the Cold,John le Carré,64137.0,3850.0,4.07,224.0,English,1,590.0,2307.0,11748.0,26924.0,22568.0,2001.0,11.0,27.0,1,1
The Power and the Glory,Graham Greene,27897.0,1924.0,3.99,222.0,English,0,344.0,1330.0,5842.0,11004.0,9377.0,2003.0,2.0,25.0,1,1
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,50386.0,1008.0,3.94,77.0,English,0,958.0,3253.0,11565.0,16735.0,17875.0,1970.0,6.0,1.0,1,1
Firefly Lane,Kristin Hannah,170019.0,13688.0,4.07,479.0,English,1,2519.0,7820.0,31972.0,60555.0,67153.0,2008.0,2.0,5.0,1,0
Holy Bible: The New King James Version,Anonymous,7347.0,484.0,4.4,1536.0,?,0,399.0,321.0,568.0,749.0,5310.0,2006.0,3.0,7.0,0,1
Rage of Angels,Sidney Sheldon,33200.0,1053.0,3.93,512.0,English,0,352.0,1758.0,8311.0,12232.0,10547.0,1999.0,8.0,3.0,1,1
Dark Heirloom,J.D.  Brown,682.0,145.0,3.91,256.0,English,1,16.0,57.0,146.0,213.0,250.0,2012.0,3.0,22.0,0,0
Trust: Betrayed,Cristiane Serruya,283.0,58.0,4.02,558.0,English,1,21.0,9.0,41.0,85.0,127.0,2013.0,4.0,25.0,0,1
The Snow Goose,Paul Gallico,3262.0,407.0,4.11,58.0,English,0,44.0,135.0,588.0,1135.0,1360.0,1941.0,6.0,27.0,1,1
Have a Little Faith: a True Story,Mitch Albom,71098.0,4781.0,4.17,249.0,English,0,711.0,2203.0,11963.0,25466.0,30755.0,2009.0,9.0,29.0,0,0
The Two Princesses of Bamarre,Gail Carson Levine,65103.0,2305.0,4.04,304.0,English,1,951.0,3030.0,14105.0,21553.0,25464.0,2004.0,3.0,1.0,1,1
Villette,Charlotte Brontë,56025.0,3404.0,3.76,573.0,English,0,1648.0,4793.0,14970.0,18615.0,15999.0,2001.0,10.0,9.0,1,1
A Man After God's Own Heart,Jim George,197.0,22.0,3.96,235.0,English,0,2.0,10.0,45.0,76.0,64.0,2002.0,12.0,31.0,0,1
The Sunne in Splendour,Sharon Kay Penman,18467.0,1177.0,4.41,936.0,English,0,203.0,356.0,1821.0,5392.0,10695.0,1990.0,1.0,14.0,1,1
Dare Me,Megan Abbott,22151.0,3062.0,3.21,290.0,English,0,1640.0,3988.0,7480.0,6114.0,2929.0,2012.0,7.0,31.0,1,1
The Hero of Ages,Brandon Sanderson,224276.0,12943.0,4.49,572.0,English,1,898.0,2954.0,18215.0,66090.0,136119.0,2008.0,10.0,14.0,1,0
Hex Hall,Rachel Hawkins,124482.0,8233.0,3.95,323.0,English,1,3165.0,7090.0,27154.0,42488.0,44585.0,2010.0,3.0,2.0,0,0
Naked,David Sedaris,223996.0,5483.0,4.09,304.0,English,0,3137.0,7810.0,39902.0,88479.0,84668.0,1998.0,10.0,22.0,0,1
Dealing with Dragons,Patricia C. Wrede,78893.0,3236.0,4.15,212.0,English,1,1525.0,2902.0,13378.0,25497.0,35591.0,2002.0,11.0,1.0,1,1
The Bloody Chamber and Other Stories,Angela Carter,34164.0,2919.0,3.99,128.0,English,0,589.0,1937.0,6877.0,12627.0,12134.0,1990.0,10.0,22.0,1,1
To Live and Die in Fantasyland,Ben Peller,90.0,78.0,4.31,320.0,?,1,0.0,0.0,10.0,42.0,38.0,2013.0,5.0,1.0,0,0
Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,20555.0,958.0,4.2,246.0,English,0,273.0,578.0,3219.0,7265.0,9220.0,2001.0,9.0,13.0,0,1
Lights on the Sea,Miquel Reina,1300.0,355.0,4.03,272.0,English,0,23.0,84.0,258.0,399.0,536.0,2018.0,9.0,25.0,1,0
Trafficked to Hell: A trafficked daughter's plight. A mother's fight to find her.,R Flo,47.0,9.0,4.64,318.0,English,0,0.0,2.0,2.0,7.0,36.0,2015.0,12.0,20.0,0,0
Assassin's Apprentice,Robin Hobb,207418.0,8423.0,4.15,435.0,English,1,3113.0,7541.0,32080.0,76299.0,88385.0,1996.0,3.0,1.0,1,1
"Blackamoores: Africans in Tudor England, Their Presence, Status and Origins",Onyeka,76.0,27.0,4.39,463.0,English,0,1.0,2.0,8.0,20.0,45.0,2013.0,9.0,16.0,0,1
The Creep,Chriselda Barretto,354.0,6.0,4.11,282.0,English,0,0.0,1.0,66.0,181.0,106.0,2018.0,9.0,23.0,1,0
Lisey's Story,Stephen King,63906.0,3431.0,3.67,513.0,English,0,2817.0,6463.0,17174.0,19950.0,17502.0,2006.0,10.0,24.0,1,0
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,93778.0,3739.0,3.86,255.0,English,0,1856.0,6528.0,24436.0,31287.0,29671.0,2003.0,9.0,16.0,1,0
Dreams & Dew: Poems & Prose,Chriselda Barretto,370.0,6.0,4.17,240.0,English,0,0.0,1.0,47.0,211.0,111.0,2018.0,9.0,23.0,1,0
"Bless Me, Ultima",Rudolfo Anaya,24990.0,2164.0,3.77,290.0,English,0,904.0,2178.0,6101.0,8502.0,7305.0,1999.0,4.0,1.0,1,1
"Tomorrow, When the War Began",John Marsden,45961.0,2867.0,4.05,276.0,English,1,809.0,2200.0,8339.0,16998.0,17615.0,2006.0,5.0,1.0,1,1
Cloudstreet,Tim Winton,18566.0,1363.0,3.99,426.0,English,0,500.0,1128.0,3323.0,6656.0,6959.0,2002.0,6.0,6.0,1,1
The Lords of Discipline,Pat Conroy,23746.0,1310.0,4.3,512.0,English,0,117.0,435.0,2995.0,8908.0,11291.0,1997.0,2.0,24.0,1,1
Even Cowgirls Get the Blues,Tom Robbins,47661.0,1738.0,3.76,366.0,English,0,1193.0,3590.0,12934.0,17890.0,12054.0,2001.0,10.0,11.0,1,1
Out of Africa,Isak Dinesen,31107.0,1781.0,3.96,399.0,English,0,586.0,1781.0,6644.0,11447.0,10649.0,1992.0,10.0,22.0,0,1
The Essential Neruda: Selected Poems,Pablo Neruda,5162.0,213.0,4.46,200.0,English,0,26.0,61.0,463.0,1571.0,3041.0,2004.0,4.0,1.0,0,1
A Debt Free You,Steve Julien,11.0,0.0,4.91,104.0,English,0,0.0,0.0,0.0,1.0,10.0,2012.0,3.0,1.0,0,0
The Fyfield Plantation,Andrew R.  Williams,828.0,15.0,4.29,?,English,1,8.0,28.0,39.0,391.0,362.0,?,?,?,0,0
The Influence of Military Strategies to Business,M.D. White,497.0,18.0,4.09,136.0,?,0,2.0,4.0,108.0,217.0,166.0,2017.0,9.0,29.0,0,0
We Were Liars,E. Lockhart,400183.0,44800.0,3.84,242.0,English,0,12748.0,31432.0,92363.0,135549.0,128091.0,2014.0,5.0,13.0,1,0
The Immortals of Meluha,Amish Tripathi,89051.0,4930.0,4.06,436.0,English,1,1434.0,3445.0,15129.0,37261.0,31782.0,2010.0,4.0,1.0,1,1
The Woods,Harlan Coben,62144.0,3698.0,4.05,404.0,English,0,514.0,1864.0,12237.0,27224.0,20305.0,2007.0,4.0,17.0,1,0
The Truth Behind the Lies: One Man's Journey Through Wwiii,Jaeson D Rau,423.0,8.0,4.14,138.0,?,0,1.0,0.0,80.0,198.0,144.0,2018.0,9.0,24.0,0,0
Out of My Mind,Sharon M. Draper,92405.0,12792.0,4.38,295.0,English,0,681.0,1916.0,10265.0,28675.0,50868.0,2010.0,3.0,9.0,1,0
The Woman Warrior,Maxine Hong Kingston,22847.0,1389.0,3.73,204.0,English,0,614.0,1945.0,6182.0,8399.0,5707.0,1989.0,4.0,23.0,0,1
Dyed Souls,Gary Santorella,286.0,36.0,4.26,256.0,English,0,7.0,8.0,25.0,111.0,135.0,2018.0,3.0,28.0,0,0
Earth Abides,George R. Stewart,22049.0,1763.0,3.96,345.0,English,0,467.0,1436.0,4507.0,7700.0,7939.0,2006.0,3.0,28.0,1,1
Story of the Eye,Georges Bataille,14798.0,1130.0,3.65,103.0,English,0,869.0,1498.0,3619.0,4758.0,4054.0,2001.0,1.0,1.0,1,1
Ice in My Veins,Kelli Sullivan,260.0,35.0,3.77,272.0,English,0,20.0,25.0,43.0,78.0,94.0,2010.0,11.0,24.0,0,0
The Third Policeman,Flann O'Brien,14855.0,1583.0,4.01,200.0,English,0,391.0,898.0,2699.0,4980.0,5887.0,1999.0,3.0,1.0,1,1
Mark of the Lion Trilogy,Francine Rivers,10743.0,772.0,4.77,1468.0,English,1,34.0,74.0,343.0,1479.0,8813.0,1998.0,9.0,1.0,1,1
The Shelters of Stone,Jean M. Auel,39787.0,1233.0,3.82,891.0,English,1,995.0,3520.0,9944.0,12626.0,12702.0,2004.0,4.0,27.0,1,1
The Information,Martin Amis,6472.0,285.0,3.51,374.0,English,0,433.0,748.0,1780.0,2112.0,1399.0,1996.0,3.0,19.0,1,1
Gardens of the Moon,Steven Erikson,80759.0,4833.0,3.88,666.0,English,1,3114.0,5660.0,16267.0,28722.0,26996.0,2005.0,1.0,22.0,1,1
Champion,Marie Lu,154036.0,14499.0,4.35,373.0,English,1,1402.0,3727.0,18015.0,46722.0,84170.0,2013.0,11.0,5.0,1,0
Raincheck,Marlo Lanz,517.0,51.0,4.14,240.0,English,0,0.0,12.0,95.0,220.0,190.0,2017.0,7.0,20.0,0,0
The Loop,Nicholas Evans,10472.0,695.0,3.91,511.0,?,0,108.0,550.0,2571.0,4189.0,3054.0,1999.0,10.0,22.0,1,1
A Court of Thorns and Roses,Sarah J. Maas,351638.0,37990.0,4.25,419.0,English,1,7443.0,13817.0,43869.0,103244.0,183265.0,2015.0,5.0,5.0,0,0
Wyrd Sisters,Terry Pratchett,84156.0,2724.0,4.12,265.0,English,1,379.0,2205.0,16155.0,33334.0,32083.0,2001.0,2.0,6.0,1,1
Plato: Complete Works,Plato,9917.0,145.0,4.34,1838.0,English,0,110.0,259.0,1327.0,2633.0,5588.0,1997.0,5.0,1.0,0,0
The Ugly American,William J. Lederer,3584.0,390.0,4.01,288.0,English,0,22.0,142.0,797.0,1429.0,1194.0,1999.0,1.0,17.0,1,1
The Fever,Megan Abbott,21286.0,2782.0,3.12,307.0,?,0,1433.0,4298.0,8024.0,5320.0,2211.0,2014.0,6.0,17.0,1,0
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,136147.0,6660.0,4.28,916.0,English,0,4663.0,4394.0,13983.0,38004.0,75103.0,2006.0,9.0,26.0,0,1
O Pioneers!,Willa Cather,42950.0,2837.0,3.86,159.0,English,1,1090.0,2601.0,10031.0,16589.0,12639.0,1992.0,10.0,22.0,1,1
Darkly Dreaming Dexter,Jeff Lindsay,175685.0,6197.0,3.9,288.0,English,1,5391.0,11355.0,39689.0,59052.0,60198.0,2006.0,9.0,19.0,1,1
Guilty Pleasures,Laurell K. Hamilton,126895.0,5367.0,4.02,355.0,English,1,3496.0,7202.0,24497.0,39333.0,52367.0,2004.0,8.0,3.0,0,1
Jingo,Terry Pratchett,50447.0,1245.0,4.14,461.0,English,1,134.0,1181.0,9705.0,19898.0,19529.0,2006.0,2.0,12.0,0,1
The Yiddish Policemen's Union,Michael Chabon,59137.0,6628.0,3.7,414.0,English,0,1792.0,4746.0,15736.0,23726.0,13137.0,2007.0,5.0,1.0,1,0
Fifty Shades Darker,E.L. James,687245.0,28726.0,3.85,532.0,English,1,42629.0,66076.0,128098.0,165278.0,285164.0,2011.0,9.0,16.0,1,1
Call of the Kami,Teresa Garcia,15.0,2.0,4.33,180.0,English,0,1.0,0.0,1.0,4.0,9.0,2012.0,10.0,19.0,0,1
Words are our Sorcery,Karl Wiggins,123.0,2.0,4.55,91.0,English,0,5.0,3.0,6.0,14.0,95.0,2014.0,3.0,30.0,0,0
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength,C.S. Lewis,8707.0,382.0,4.12,0.0,English,1,134.0,405.0,1520.0,2852.0,3796.0,1986.0,1.0,1.0,1,1
Old Man's War,John Scalzi,141624.0,8800.0,4.24,351.0,English,1,1148.0,3495.0,18943.0,55022.0,63016.0,2007.0,1.0,15.0,1,1
Sold,Patricia McCormick,47479.0,5736.0,4.21,268.0,English,0,398.0,1280.0,7051.0,17881.0,20869.0,2006.0,9.0,15.0,1,1
A Great Sage and A Rascal Named Doku,Vivek Rajan Vivek,56.0,26.0,4.04,200.0,English,0,1.0,4.0,11.0,16.0,24.0,2013.0,8.0,4.0,0,0
"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,54.0,9.0,3.81,126.0,English,0,2.0,6.0,12.0,14.0,20.0,2011.0,4.0,1.0,1,0
Animal Dreams,Barbara Kingsolver,58728.0,2285.0,4.06,342.0,English,0,397.0,1776.0,11839.0,24462.0,20254.0,1991.0,10.0,22.0,1,1
Dead Men's Trousers,Irvine Welsh,3105.0,174.0,3.72,432.0,?,1,282.0,308.0,484.0,967.0,1064.0,2018.0,3.0,29.0,1,0
How Green Was My Valley,Richard Llewellyn,13826.0,1277.0,4.17,448.0,English,0,171.0,492.0,2225.0,4848.0,6090.0,2001.0,6.0,28.0,1,1
The Sword of Shannara,Terry Brooks,78158.0,3741.0,3.76,726.0,English,1,3319.0,6900.0,18800.0,25543.0,23596.0,1999.0,4.0,22.0,1,1
"Diet for a New America: How Your Food Choices Affect Your Health, Happiness and the Future of Life on Earth",John Robbins,3624.0,286.0,4.17,448.0,English,0,51.0,152.0,580.0,1184.0,1657.0,1998.0,4.0,14.0,0,1
Raintree County,Ross Lockridge Jr.,886.0,74.0,3.96,1088.0,English,0,25.0,55.0,195.0,268.0,343.0,1994.0,4.0,1.0,1,1
The Taking of Peggy Martin,Karen Glista,798.0,33.0,4.3,243.0,?,0,0.0,2.0,99.0,352.0,345.0,2017.0,7.0,22.0,1,0
The Kitchen God's Wife,Amy Tan,69880.0,2037.0,4.01,416.0,English,0,414.0,2062.0,15563.0,30486.0,21355.0,2006.0,9.0,21.0,1,1
Wir Kinder vom Bahnhof Zoo,Christiane F.,24995.0,914.0,4.19,367.0,German,0,184.0,775.0,3924.0,9301.0,10811.0,1999.0,6.0,21.0,0,1
Bel-Ami,Guy de Maupassant,25691.0,1193.0,3.83,416.0,English,0,423.0,1659.0,6735.0,9839.0,7035.0,1975.0,11.0,30.0,1,1
She Said!: The Book of Quotes,Chriselda Barretto,370.0,7.0,4.19,124.0,English,0,1.0,0.0,54.0,188.0,127.0,2018.0,9.0,16.0,1,0
